year,region,state,gender,mode_of_trans,count
2015,West,California,female,drove_alone,5871058
2015,West,California,female,carpooled,815649
2015,West,California,female,public_transportation,455598
2015,West,California,female,bicycle,51952
2015,West,California,female,walked,218772
2015,West,California,female,taxicab_or_other,94886
2015,West,Colorado,female,drove_alone,962640
2015,West,Colorado,female,carpooled,103932
2015,West,Colorado,female,public_transportation,37842
2015,West,Colorado,female,bicycle,11650
2015,West,Colorado,female,walked,32951
2015,West,Colorado,female,taxicab_or_other,8792
2015,Northeast,Connecticut,female,drove_alone,675660
2015,Northeast,Connecticut,female,carpooled,64652
2015,Northeast,Connecticut,female,public_transportation,40141
2015,Northeast,Connecticut,female,bicycle,1061
2015,Northeast,Connecticut,female,walked,24899
2015,Northeast,Connecticut,female,taxicab_or_other,6352
2015,Northeast,Delaware,female,drove_alone,175225
2015,Northeast,Delaware,female,carpooled,17861
2015,Northeast,Delaware,female,public_transportation,6517
2015,Northeast,Delaware,female,bicycle,316
2015,Northeast,Delaware,female,walked,4436
2015,Northeast,Delaware,female,taxicab_or_other,1454
2015,Southeast,Florida,female,drove_alone,3413221
2015,Southeast,Florida,female,carpooled,371476
2015,Southeast,Florida,female,public_transportation,100256
2015,Southeast,Florida,female,bicycle,15211
2015,Southeast,Florida,female,walked,55462
2015,Southeast,Florida,female,taxicab_or_other,46515
2015,Southeast,Georgia,female,drove_alone,1751950
2015,Southeast,Georgia,female,carpooled,202216
2015,Southeast,Georgia,female,public_transportation,53930
2015,Southeast,Georgia,female,bicycle,2350
2015,Southeast,Georgia,female,walked,31016
2015,Southeast,Georgia,female,taxicab_or_other,22688
2015,West,Hawaii,female,drove_alone,202235
2015,West,Hawaii,female,carpooled,49171
2015,West,Hawaii,female,public_transportation,28182
2015,West,Hawaii,female,bicycle,1578
2015,West,Hawaii,female,walked,12268
2015,West,Hawaii,female,taxicab_or_other,6625
2015,West,Idaho,female,drove_alone,261865
2015,West,Idaho,female,carpooled,37442
2015,West,Idaho,female,public_transportation,1695
2015,West,Idaho,female,bicycle,2134
2015,West,Idaho,female,walked,9566
2015,West,Idaho,female,taxicab_or_other,2526
2015,Midwest,Illinois,female,drove_alone,2118495
2015,Midwest,Illinois,female,carpooled,230230
2015,Midwest,Illinois,female,public_transportation,277704
2015,Midwest,Illinois,female,bicycle,11378
2015,Midwest,Illinois,female,walked,87178
2015,Midwest,Illinois,female,taxicab_or_other,28618
2015,Midwest,Indiana,female,drove_alone,1201739
2015,Midwest,Indiana,female,carpooled,123764
2015,Midwest,Indiana,female,public_transportation,16580
2015,Midwest,Indiana,female,bicycle,4179
2015,Midwest,Indiana,female,walked,32037
